"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.194382566E1,-3.782838583E-1,1.376665980E-1,9.825803757E0,9.834046483E0
6.194634498E1,-3.878606856E-1,1.472434103E-1,9.835380554E0,9.844126532E0
6.194886446E1,-3.830722570E-1,1.424549967E-1,9.830592155E0,9.839084302E0
6.195138431E1,-3.878606856E-1,1.376665980E-1,9.840168953E0,9.848772158E0
6.195390467E1,-3.830722570E-1,1.328781992E-1,9.840168953E0,9.848518975E0
6.195642571E1,-3.782838583E-1,1.424549967E-1,9.830592155E0,9.838899035E0
6.195894748E1,-3.878606856E-1,1.424549967E-1,9.835380554E0,9.844056074E0
6.196147009E1,-3.926490843E-1,1.328781992E-1,9.835380554E0,9.844111974E0
6.196399352E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.196651779E1,-3.974374831E-1,1.185129806E-1,9.830592155E0,9.839336563E0
6.196904290E1,-3.926490843E-1,1.185129806E-1,9.825803757E0,9.834360076E0
6.197156878E1,-3.926490843E-1,1.328781992E-1,9.821015358E0,9.829759538E0
6.197409535E1,-3.974374831E-1,1.280897856E-1,9.821015358E0,9.829888413E0
6.197662243E1,-3.974374831E-1,1.233013868E-1,9.811438560E0,9.820258979E0
6.197914993E1,-3.974374831E-1,1.328781992E-1,9.816226959E0,9.825167932E0
6.198167769E1,-3.926490843E-1,1.376665980E-1,9.830592155E0,9.839393656E0
6.198420556E1,-3.878606856E-1,1.424549967E-1,9.825803757E0,9.834487724E0
6.198673311E1,-3.782838583E-1,1.520318091E-1,9.816226959E0,9.824689515E0
6.198925738E1,-3.782838583E-1,1.520318091E-1,9.821015358E0,9.829473791E0
6.199177894E1,-3.830722570E-1,1.328781992E-1,9.840168953E0,9.848518975E0
6.199430071E1,-3.878606856E-1,1.280897856E-1,9.844957352E0,9.853427229E0
6.199682274E1,-4.022258818E-1,1.328781992E-1,9.835380554E0,9.844498612E0
6.199934514E1,-3.926490843E-1,1.280897856E-1,9.825803757E0,9.834480147E0
6.200186795E1,-3.878606856E-1,1.280897856E-1,9.840168953E0,9.848642948E0
6.200439123E1,-3.926490843E-1,1.328781992E-1,9.840168953E0,9.848896128E0
6.200691498E1,-3.878606856E-1,1.376665980E-1,9.825803757E0,9.834419529E0
6.200943920E1,-3.926490843E-1,1.376665980E-1,9.825803757E0,9.834609543E0
6.201196389E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.201448899E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.201701446E1,-3.974374831E-1,1.472434103E-1,9.821015358E0,9.830156654E0
6.201954024E1,-3.974374831E-1,1.424549967E-1,9.825803757E0,9.834870078E0
6.202206628E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.202459248E1,-4.022258818E-1,1.280897856E-1,9.830592155E0,9.839651151E0
6.202711878E1,-3.974374831E-1,1.328781992E-1,9.825803757E0,9.834736023E0
6.202965050E1,-3.926490843E-1,1.424549967E-1,9.825803757E0,9.834677737E0
6.203216977E1,-3.926490843E-1,1.376665980E-1,9.825803757E0,9.834609543E0
6.203468920E1,-3.878606856E-1,1.328781992E-1,9.821015358E0,9.829569430E0
6.203720899E1,-3.926490843E-1,1.328781992E-1,9.821015358E0,9.829759538E0
6.203972930E1,-3.974374831E-1,1.376665980E-1,9.821015358E0,9.830017869E0
6.204225029E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.204477207E1,-3.878606856E-1,1.233013868E-1,9.830592155E0,9.839013226E0
6.204729467E1,-3.782838583E-1,1.328781992E-1,9.825803757E0,9.833980616E0
6.204981816E1,-3.830722570E-1,1.376665980E-1,9.830592155E0,9.839016138E0
6.205234253E1,-3.830722570E-1,1.328781992E-1,9.835380554E0,9.843734638E0
6.205486774E1,-3.782838583E-1,1.376665980E-1,9.825803757E0,9.834046483E0
6.205739368E1,-3.830722570E-1,1.424549967E-1,9.816226959E0,9.824731523E0
6.205992029E1,-3.878606856E-1,1.424549967E-1,9.821015358E0,9.829703556E0
6.206244743E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.206497498E1,-3.926490843E-1,1.185129806E-1,9.835380554E0,9.843928549E0
6.206750279E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.207003071E1,-3.926490843E-1,1.376665980E-1,9.840168953E0,9.848961895E0
6.207255795E1,-3.974374831E-1,1.424549967E-1,9.840168953E0,9.849222051E0
6.207508222E1,-3.926490843E-1,1.280897856E-1,9.840168953E0,9.848832688E0
6.207760644E1,-3.878606856E-1,1.328781992E-1,9.844957352E0,9.853490640E0
6.208012795E1,-3.926490843E-1,1.376665980E-1,9.844957352E0,9.853746021E0
6.208264967E1,-3.974374831E-1,1.328781992E-1,9.835380554E0,9.844304131E0
6.208517170E1,-3.878606856E-1,1.376665980E-1,9.840168953E0,9.848772158E0
6.208769410E1,-3.830722570E-1,1.376665980E-1,9.830592155E0,9.839016138E0
6.209021691E1,-3.830722570E-1,1.376665980E-1,9.825803757E0,9.834231841E0
6.209274019E1,-3.830722570E-1,1.376665980E-1,9.821015358E0,9.829447548E0
6.209526394E1,-3.926490843E-1,1.280897856E-1,9.825803757E0,9.834480147E0
6.209778816E1,-3.878606856E-1,1.328781992E-1,9.825803757E0,9.834353664E0
6.210031285E1,-3.878606856E-1,1.376665980E-1,9.821015358E0,9.829635327E0
6.210283795E1,-3.878606856E-1,1.328781992E-1,9.825803757E0,9.834353664E0
6.210536342E1,-3.878606856E-1,1.328781992E-1,9.825803757E0,9.834353664E0
6.210788920E1,-3.830722570E-1,1.280897856E-1,9.830592155E0,9.838886801E0
6.211041524E1,-3.878606856E-1,1.328781992E-1,9.830592155E0,9.839137902E0
6.211294144E1,-3.878606856E-1,1.424549967E-1,9.825803757E0,9.834487724E0
6.211546774E1,-3.926490843E-1,1.520318091E-1,9.825803757E0,9.834821119E0
6.211799946E1,-3.830722570E-1,1.472434103E-1,9.835380554E0,9.843939030E0
6.212051889E1,-3.782838583E-1,1.328781992E-1,9.830592155E0,9.838765035E0
6.212303847E1,-3.926490843E-1,1.376665980E-1,9.816226959E0,9.825041329E0
6.212555842E1,-4.022258818E-1,1.328781992E-1,9.830592155E0,9.839714650E0
6.212807889E1,-3.974374831E-1,1.376665980E-1,9.830592155E0,9.839585905E0
6.213059998E1,-3.974374831E-1,1.424549967E-1,9.825803757E0,9.834870078E0
6.213312180E1,-4.022258818E-1,1.328781992E-1,9.830592155E0,9.839714650E0
6.213564446E1,-3.830722570E-1,1.233013868E-1,9.830592155E0,9.838825627E0
6.213816795E1,-3.782838583E-1,1.280897856E-1,9.840168953E0,9.848270442E0
6.214069227E1,-3.830722570E-1,1.376665980E-1,9.830592155E0,9.839016138E0
6.214321738E1,-3.974374831E-1,1.376665980E-1,9.825803757E0,9.834801885E0
6.214574321E1,-3.974374831E-1,1.280897856E-1,9.825803757E0,9.834672491E0
6.214826967E1,-4.022258818E-1,1.280897856E-1,9.835380554E0,9.844435144E0
6.215079665E1,-3.974374831E-1,1.328781992E-1,9.825803757E0,9.834736023E0
6.215332404E1,-3.926490843E-1,1.280897856E-1,9.821015358E0,9.829695975E0
6.215585170E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
